nbEval,fitness
0,44.312675363171685
1,45.172270854682786
2,44.50733747633516
3,45.89609887425097
4,44.36988645509833
5,45.612049695624556
6,45.28310373546733
7,45.102094135368134
8,44.901327279603215
9,44.84062154323861
10,44.795512359694854
11,44.5355750234243
12,44.387016426018945
13,44.992776197114466
14,44.460403691345064
15,44.800902249804146
16,45.218709206206306
17,44.41984294676341
18,45.142357760345405
19,44.07005362277616
20,44.1820069415377
21,44.162104396148514
22,44.696586766239406
23,44.49920996250912
24,45.02154284068757
25,44.57042338548819
26,45.26035257938797
27,45.40991488799442
28,44.33670098044226
29,44.111825529096215
30,45.23906705104753
31,45.1121232726467
32,44.436716680077716
33,44.40675314233264
34,44.61024949573129
35,44.935837840779804
36,44.55752381318945
37,44.875829409238875
38,44.7908442681759
39,45.66089565627298
40,44.97963062894565
41,44.59608866709485
42,44.81446068809071
43,44.51203640958284
44,44.427370900799666
45,44.52267033000681
46,45.80176356323415
47,44.571715785003335
48,44.355360404774096
49,44.58018981691969
50,44.29345341037387
51,44.849056100167736
52,44.96101798453094
53,44.338449634873776
54,44.65857044611592
55,44.791396706005855
56,45.104514945086734
57,45.06521541299116
58,45.356952791539655
59,44.40813424091675
60,44.42276064281577
61,44.87834999319424
62,44.543807285765496
63,44.294083738221715
64,44.59065512231147
65,44.22713210461565
66,44.83506928256928
67,45.07354084676645
68,45.26008361729143
69,44.96758841190341
70,45.17977053644527
71,44.695045152896355
72,44.386332547812806
73,45.13746909712952
74,44.32318715905985
75,44.89620368816771
76,44.8380377242297
77,44.5657581052347
78,44.33261031190889
79,44.57417892106748
80,45.233496233119865
81,44.95992506457966
82,45.43288172944616
83,44.602524366722314
84,44.43431611928806
85,43.90274025982616
86,44.869250047660465
87,44.69813351197735
88,44.49636607326139
89,44.57176644716795
90,44.849718188874526
91,44.455991969989626
92,44.61822043117129
93,45.13053590601579
94,45.21161639114811
95,44.75327649134634
96,45.142520509532886
97,45.02527000200664
98,44.55757106720535
99,44.70406387969758
