nbEval,fitness
0,45.80722029826326
1,45.42588318010821
2,46.02293000658325
3,45.402431801944175
4,46.26340787684538
5,46.1035507502187
6,46.00901840555673
7,46.42584798052968
8,45.90888458942446
9,46.30515940794385
10,45.88816420235538
11,45.721422221640864
12,45.980204525257776
13,46.62483300096302
14,46.10992546550886
15,46.322604457590906
16,46.531716563557694
17,45.934595736077924
18,45.7153145409802
19,46.271788302570016
20,46.041201689535654
21,46.64633146029238
22,46.1277186384665
23,45.83085115338307
24,46.59482082749982
25,46.37726642316234
26,46.27140991562043
27,46.04161059797185
28,46.39100253672914
29,46.72633692445612
30,45.98427236087355
31,46.263499791115876
32,45.702571281702475
33,46.273659641084194
34,46.31952580475509
35,46.00414759296146
36,46.191372888807095
37,45.73006628412009
38,46.05760433831448
39,45.84125483595781
40,46.704344081593504
41,45.93172350088564
42,45.968566830486324
43,46.43478144723209
44,46.511849845201255
45,46.269501082208144
46,46.42305179609261
47,45.74661149129221
48,46.33934049152317
49,46.43125287591524
50,46.28129509350874
51,45.88130791622664
52,45.7466939421303
53,46.15469926175906
54,46.49911601126772
55,46.10345929726736
56,45.5781973591997
57,46.60463890011488
58,45.992106085062765
59,46.08312390621506
60,45.958484576604754
61,45.95685822211558
62,45.99445386051711
63,45.978126370175495
64,46.06504926267117
65,46.58839104082622
66,46.358332264105314
67,45.838198385578416
68,46.10381498310483
69,46.074979725762404
70,46.71205339219175
71,46.562867893379675
72,46.27243559648842
73,46.37320437596174
74,46.32653403728483
75,45.724056696048756
76,45.837593521244834
77,46.46081365547791
78,45.79517464225087
79,45.835162177362236
80,46.45544591946295
81,46.53421897239041
82,45.3785075916945
83,46.62289208143797
84,46.25700637397232
85,46.79370465841637
86,45.64758717478629
87,45.63560836870531
88,46.89153499976545
89,46.441952714861955
90,46.22169653463871
91,45.65876047327288
92,46.149962173583496
93,46.4408214154625
94,45.7967975469949
95,46.781507318862175
96,46.01575540748236
97,47.00233755702213
98,45.90752679384744
99,45.62181306771574
